Filter Name,50% a,50% b,50% x0,50% c,90% a,90% b,90% x0,90% c,95% a,95% b,95% x0,95% c
WFC3 IR F098M,25.25953373214138,-5.0,-1.2988966699602147,1.284652432930308,24.99695090124323,-5.0,-1.7400800893932469,2.803290445782291,24.244869708858623,-4.891521696505077,-1.8855425109548194,3.181671844870074
WFC3 IR F105W,25.468993142234595,-4.998038234025894,-1.3126252348913148,1.3379253549699264,25.087567954994785,-5.0,-1.7807984947395925,3.0584088783022096,23.95292580641578,-4.849068190309422,-1.8319231790435686,3.9478430060475174
WFC3 IR F110W,25.3389438046077,-5.0,-1.3054085780675593,1.3107412888109349,24.58732922719535,-4.989880180838619,-1.7729503022456854,3.2154708313801206,24.002075935237357,-4.913036255680794,-1.8593556374054798,3.5141925093255875
WFC3 IR F125W,25.753864671384186,-5.0,-1.302416860755952,1.2899267026610401,25.064458188445577,-4.991742020230238,-1.8140259644006427,3.2500710722911332,23.552207201666388,-4.902261459829146,-1.8229691305288267,2.8897374998716345
WFC3 IR F140W,25.404751881339696,-5.0,-1.2883919476373766,1.2562898112491114,24.73765889928439,-4.957572109132789,-1.738440658307931,2.565532014072607,24.11516410185213,-4.940292826347013,-1.8125509010546696,2.899810866268528
WFC3 IR F160W,25.373395823137304,-5.0,-1.2952241749574127,1.2900781138371025,24.448297535956236,-5.0,-1.7971564739977217,3.4226850330528644,23.526394287615535,-4.770325616523232,-1.8215728428398132,3.8415584918184384
