Filter Name,50% a,50% b,50% x0,50% c,90% a,90% b,90% x0,90% c,95% a,95% b,95% x0,95% c
ACS F435W,25.157563278638772,-5.0,-1.3408211442373528,1.2212721903720543,24.85659211272974,-4.976647825490179,-1.4413040959347623,1.5499363710564613,25.01961283325514,-4.986505848298784,-1.5988852525477801,2.175599519053434
ACS F475W,25.276851807557126,-5.0,-1.3422965044108601,1.2203902524265209,25.051777517684695,-5.0,-1.510907896894974,1.7650012590223034,25.059973139012058,-5.0,-1.6547781330203666,2.304773450502207
ACS F555W,24.973432872270575,-4.999621896976944,-1.3715323598304818,1.2874024423862158,24.58490745717111,-4.9980810634394155,-1.57544328773495,2.0611380715186036,24.754600662132717,-5.0,-1.676692142517869,2.2535735127577396
ACS F606W,25.699379065630517,-5.0,-1.3511428323290657,1.2337581457191893,25.495675640253936,-5.0,-1.6022820345233355,2.157312593537577,25.122040763207725,-5.0,-1.757212275467504,2.7192622499801757
ACS F625W,25.113403388747674,-5.0,-1.3415397555920876,1.2100461335216246,25.030999011009,-5.0,-1.5933181136792745,2.084091014545114,24.440357655693422,-4.9875627769856585,-1.7134135479554768,2.4396866779485755
ACS F775W,24.97322937915259,-5.0,-1.3414626407452597,1.2163803958016637,24.91021582187217,-5.0,-1.5512384238155952,1.9437769691154694,24.698553424621878,-5.0,-1.6969002157173998,2.391728624345278
ACS F814W,25.038058952427654,-5.0,-1.3312016941337836,1.2136593167234453,24.964715607283363,-5.0,-1.5433002601114407,1.9273032468454778,24.838863457854192,-5.0,-1.7300033194128328,2.5991051215110152
ACS F850LP,24.369498139591354,-5.0,-1.3364581479181177,1.2120833490245244,24.29004323364153,-5.0,-1.5188709149525454,1.8261660783732874,24.144664147422016,-5.0,-1.628205526732185,2.1297031845209875
