Filter Name,50% a,50% b,50% x0,50% c,90% a,90% b,90% x0,90% c,95% a,95% b,95% x0,95% c
WFC3 IR F098M,26.112414329631825,-5.0,-1.3898623096702307,1.3630650750483937,25.638884391143407,-5.0,-1.5194762517790534,1.7018551333073506,25.528955655055036,-5.0,-1.6108836520575038,2.054887175994811
WFC3 IR F105W,26.146379490092173,-4.9984940202840695,-1.4112267941042,1.4339033847645826,25.432616311350298,-5.0,-1.5622902727876236,1.903126366937136,25.03156455834297,-4.84161252637934,-1.6759541081739961,2.5434418508568886
WFC3 IR F110W,26.234282608601585,-4.999416654646001,-1.4021123504678088,1.4129802983261945,25.684012693863547,-5.0,-1.5389455472056133,1.780009798083349,25.545454435883457,-5.0,-1.648645615237185,2.224538213934152
WFC3 IR F125W,26.646622812620294,-5.0,-1.4081287390756014,1.4226474193101595,26.107052495637774,-5.0,-1.5978749032854895,2.1413430449767343,25.48303060421662,-4.938973447087252,-1.7279190089001426,2.7813370512946465
WFC3 IR F140W,26.24750675913146,-5.0,-1.3911944241110108,1.3735562198078803,25.808034307523812,-5.0,-1.5273280232480364,1.7987914364265585,25.655718059458295,-5.0,-1.6427377435960329,2.344682586982629
WFC3 IR F160W,26.31977310625609,-5.0,-1.4056043114315986,1.4072259341726867,25.757772247114847,-5.0,-1.591181499909261,2.1965952253139656,25.392418113474395,-4.935487604508633,-1.6817914733341877,2.880411291293781
