UVIS Filter,"1"" a coeff","1"" b coeff","1"" c coeff","1"" a uncert","1"" b uncert","1"" c uncert","1"" residual","0.5"" a coeff","0.5"" b coeff","0.5"" c coeff","0.5"" a uncert","0.5"" b uncert","0.5"" c uncert","0.5"" residual","0.1"" a coeff","0.1"" b coeff","0.1"" c coeff","0.1"" a uncert","0.1"" b uncert","0.1"" c uncert","0.1"" residual",Avg
WFC3 UVIS F225W,1.4767268040932482,-0.012556661552497,17.95547384036705,0.883348666800611,0.0371352482400499,0.3495871913304587,0.3371950719129372,1.5263074991785917,-0.0101580751776277,19.102714822658392,0.8835356879488987,0.0370605393577197,0.3496349375380992,0.3446477198488448,1.8316652229161776,-0.0041121382123534,20.29073593410621,0.8833530582500693,0.0373158378108038,0.3495530913311728,0.3079766958759587,4.934301266517551
WFC3 UVIS F275W,1.5483297182379,-0.012556661552497,17.607427646456806,0.456823350204657,0.0371352482400499,0.1966821819098733,0.3403220074882709,1.5402130461321564,-0.0101580751776277,18.94582786838358,0.456823378864559,0.0370605393577197,0.1966821754815996,0.3410639972673134,1.57665764129793,-0.0041121382123534,21.04068293558939,0.4568233487276657,0.0373158378108038,0.1966821727420694,0.3012184051377249,5.086186304172577
WFC3 UVIS F300X,1.2442124403229096,-0.012556661552497,19.65175813573955,0.3909206391057851,0.0371352482400499,0.1917378006887685,0.5547526556021236,1.2447436215678631,-0.0101580751776277,20.92050683469884,0.390920616316929,0.0370605393577197,0.1917378018530694,0.4362669091663371,1.3364621297943755,-0.0041121382123534,22.749658685725876,0.390920652979904,0.0373158378108038,0.1917378063522372,0.2224065796637956,3.835726741538935
WFC3 UVIS F336W,1.468252932039063,-0.012556661552497,18.308023067022205,0.5955526403858772,0.0371352482400499,0.2782717634381736,0.1613552489021942,1.4651356908922375,-0.0101580751776277,19.631307737857945,0.595552582682646,0.0370605393577197,0.2782718077687295,0.1695256978864222,1.45352774295843,-0.0041121382123534,21.9070458773553,0.5961539250749605,0.0373158378108038,0.2785692462721556,0.191331779793029,4.813110940038629
WFC3 UVIS F390W,1.208585341119684,-0.012556661552497,19.88147841077112,2.052384321087492,0.0371352482400499,0.7162068758238899,0.0962114988041009,1.2023667666469118,-0.0101580751776277,21.20797990599145,2.052383299466151,0.0370605393577197,0.7161135473896055,0.0977945963792048,1.1861639618242936,-0.0041121382123534,23.47513396827265,2.0523864335588025,0.0373158378108038,0.7162041331171305,0.1026806198027972,4.056645361977262
WFC3 UVIS F438W,1.5358227512885032,-0.012556661552497,18.23105200151708,0.4459342859207514,0.0371352482400499,0.2578093951165673,0.1916971886728057,1.5286023763336944,-0.0101580751776277,19.562473429208403,0.4459343478780143,0.0370605393577197,0.2578094274327527,0.192092263701192,1.5196723874438332,-0.0041121382123534,21.810535764848314,0.4459342814777518,0.0373158378108038,0.2578093825647022,0.1950423212762071,5.2069564595544255
WFC3 UVIS F475W,1.7343209625206852,-0.012556661552497,18.36661143722405,0.8454222884863707,0.0371352482400499,0.3694802077075702,0.130921135320848,1.7367851633165554,-0.0101580751776277,19.66691224550263,0.8432430387143711,0.0370605393577197,0.3691280017537009,0.1291908307708681,1.737329320331011,-0.0041121382123534,21.88996690320542,0.8432430110878425,0.0373158378108038,0.3691179124956592,0.1252384954316294,5.88058794391948
WFC3 UVIS F475X,1.1844070045230752,-0.012556661552497,20.44298183113192,0.6183951958041898,0.0371352482400499,0.1943365357911753,0.0896634745907565,1.1916480216362384,-0.0101580751776277,21.7305132701534,0.6183941947405341,0.0370605393577197,0.1936958078093058,0.0890257321976607,1.2111909264757552,-0.0041121382123534,23.894979175748333,0.6183941990037911,0.0373158378108038,0.1936957982118138,0.0899196402509824,3.6933851142932848
WFC3 UVIS F555W,1.541085649453504,-0.012556661552497,18.615889782356696,0.7437580976844643,0.0371352482400499,0.2105963030347004,0.1709200235210711,1.5526393745134175,-0.0101580751776277,19.895989719493343,0.7437184330101242,0.0370605393577197,0.2106128034457349,0.1694758154729067,1.5665109552897976,-0.0041121382123534,22.10004888180035,0.7437191982944102,0.0373158378108038,0.2106105547814145,0.1684282600276513,4.74841979042395
WFC3 UVIS F606W,1.106487995311263,-0.012556661552497,20.564798436899515,1.0312098011101665,0.0371352482400499,0.4700467265603695,0.19927397188145,1.1092958484630788,-0.0101580751776277,21.859394149918156,1.0381947894378978,0.0370605393577197,0.4730802228398873,0.1971455495341192,1.1277028706988772,-0.0041121382123534,24.0134146004334,1.038198013436027,0.0373158378108038,0.4730997304494247,0.1948417141815714,3.7903025910164856
WFC3 UVIS F625W,1.1455951127786226,-0.012556661552497,19.77541032091151,0.5154892648497073,0.0371352482400499,0.3019933575289233,0.1875028587517166,1.1543479543033732,-0.0101580751776277,21.05000243687464,0.5154892658121835,0.0370605393577197,0.3019933534641419,0.1889556582160511,1.1779932506886217,-0.0041121382123534,23.18341729360556,0.515717170129608,0.0373158378108038,0.3021873037140087,0.1917426116714189,3.9620315718655705
WFC3 UVIS F775W,1.524430546602947,-0.012556661552497,18.235514168300725,0.9697650338461375,0.0371352482400499,0.2478200975776633,0.157175680442093,1.507648877882776,-0.0101580751776277,19.597081175647205,0.9697365563452784,0.0370605393577197,0.2478158599223067,0.1541181449053382,1.4764833505647754,-0.0041121382123534,21.91363726550221,0.9697260003859918,0.0373158378108038,0.2478147355966889,0.1482457862971201,4.830550650588968
WFC3 UVIS F814W,1.566856181014014,-0.012556661552497,18.185285926375823,0.6020837680954866,0.0371352482400499,0.2543749459963941,0.1606087975951937,1.5779309597976725,-0.0101580751776277,19.46395878060726,0.6021346137525072,0.0370605393577197,0.2543853684638018,0.1588764697701308,1.6119360307517474,-0.0041121382123534,21.59180691985474,0.602083772408625,0.0373158378108038,0.2543750555899417,0.1581001117873253,5.111815892701842
WFC3 UVIS F850LP,1.257517539523904,-0.012556661552497,17.93949992684557,0.7785036232846202,0.0371352482400499,0.1930298082434866,0.1555689848253135,1.2518260294653916,-0.0101580751776277,19.262523588291515,0.7784975447624679,0.0370605393577197,0.1928913390758994,0.1588257900530117,1.2444486801445445,-0.0041121382123534,21.49987481012771,0.7784987767889803,0.0373158378108038,0.1928995180287844,0.1696054405031985,3.8984698813549596
