Filter Name,50% a,50% b,50% x0,50% c,90% a,90% b,90% x0,90% c,95% a,95% b,95% x0,95% c
ACS F435W,25.659496987744568,-5.0,-1.366918718850259,1.3060805096198655,25.260382414030026,-5.0,-1.4392960873722764,1.4993131149836654,24.98949911266344,-4.8642980447555,-1.476572562316505,1.8345607048441797
ACS F475W,25.59484034785082,-5.0,-1.369963538516714,1.3004238086147089,24.838686625026277,-4.758368000189002,-1.5037718077495312,2.04376254427285,24.356879629650596,-4.262450879934123,-1.5975236204334493,2.637158262857771
ACS F555W,25.59859039199631,-5.0,-1.367349406721569,1.3059706362210755,24.223268259445014,-4.1283091512148,-1.5588707338681416,2.647643693754549,23.932542533679076,-3.8636363636363638,-1.6383737145136388,3.6337094785528596
ACS F606W,26.175790284754314,-4.999437929707536,-1.369735633190025,1.3100845042556761,25.78553548150345,-5.0,-1.4589386655923176,1.5146939497087042,25.526324715695154,-4.955738851186954,-1.5651160440572147,1.8323628986773999
ACS F625W,25.59479956445897,-5.0,-1.3674275586041258,1.2994580483365674,25.191401882439,-4.993986019079746,-1.4711858087222467,1.6138260359932957,24.903284463672705,-4.86548728790212,-1.567834871682311,2.0792843631988362
ACS F775W,25.466089238895545,-4.994520567175635,-1.3669018188380355,1.3019239770240607,25.120669878637194,-5.0,-1.4400636767027473,1.4814817921079808,25.04624965179724,-5.0,-1.516387122206053,1.7404483736502865
ACS F814W,25.573269432186866,-5.0,-1.3662690622942186,1.291805243828245,25.224233252474804,-5.0,-1.4408681890473478,1.4597192852638918,25.146438338814995,-4.999751171982496,-1.490825934036214,1.6306761603573061
ACS F850LP,24.882085631663056,-5.0,-1.3672271345057756,1.3075913762158626,24.52782155009399,-5.0,-1.436594679990722,1.4950065716490661,24.445158290643963,-5.0,-1.5080688194112446,1.772508171083643
