IR Filter,"1"" a coeff","1"" b coeff","1"" c coeff","1"" a uncert","1"" b uncert","1"" c uncert","1"" residual","0.5"" a coeff","0.5"" b coeff","0.5"" c coeff","0.5"" a uncert","0.5"" b uncert","0.5"" c uncert","0.5"" residual","0.1"" a coeff","0.1"" b coeff","0.1"" c coeff","0.1"" a uncert","0.1"" b uncert","0.1"" c uncert","0.1"" residual",Avg Exp,Avg Back
WFC3 IR F098M,1.2840656576199598,-0.20208411486438616,24.000793830256253,0.25637955141019153,0.07712122976767298,0.05796745101683334,0.14199067729368692,1.2921646421124213,-0.20278344427785117,25.265853301892413,0.25248313385513754,0.07884182792450713,0.057086486460413866,0.13983276360664623,1.3081219137818434,-0.20863241729446447,27.3443062006388,0.27926706864526596,0.08841554153341231,0.06314231973416355,0.1546664646931888,3.5829257582980487,-0.3905993658078266
WFC3 IR F105W,1.2534422118602597,-0.20208411486438616,24.136192739194037,0.13184254934186582,0.07712122976767298,0.05168754480947409,0.1634503686619904,1.2637173905719419,-0.20278344427785117,25.42202522720136,0.12962448303136845,0.07884182792450713,0.05081797735071137,0.1607005544612444,1.2909261282001483,-0.20863241729446447,27.540675501381546,0.132602156924049,0.08841554153341231,0.051985344024823715,0.16439209147008396,3.4179659602708283,-0.13488327057365168
WFC3 IR F110W,0.7337721374391762,-0.20208411486438616,24.04511384556344,0.07372770281603754,0.07712122976767298,0.03161229365399168,0.11397974553741315,0.7050336651624606,-0.20278344427785117,25.32076175292673,0.0727162218147452,0.07884182792450713,0.03117860240626918,0.11241604939316091,0.6498258009826479,-0.20863241729446447,27.418266201377495,0.07585800356090726,0.08841554153341231,0.03252570584565666,0.11727310060329017,3.0281062889027104,0.07855449304955812
WFC3 IR F125W,1.0832347748613995,-0.20208411486438616,24.479133135220923,0.25815641592580757,0.07712122976767298,0.05022856282415007,0.1328922858872553,1.0854882956776168,-0.20278344427785117,25.747980615613393,0.26927660994461966,0.07884182792450713,0.0523921899412935,0.13861670507660973,1.0993741367872731,-0.20863241729446447,27.833664217113654,0.29356306064094706,0.08841554153341231,0.05711752667183096,0.15111877085406572,3.7080118644210267,-0.19520793218606902
WFC3 IR F140W,1.4392262781029932,-0.20208411486438616,24.199227697631326,0.18850434812903488,0.07712122976767298,0.04761014942189159,0.1346618385457505,1.49189649131351,-0.20278344427785117,25.450756152148685,0.19289358374473503,0.07884182792450713,0.0487187241942731,0.13779736050147975,1.616087169134953,-0.20863241729446447,27.50177948198198,0.24029375720111096,0.08841554153341231,0.06069048921839826,0.17165862638241175,3.4993134847720655,0.020812681329377268
WFC3 IR F160W,0.9818605631946312,-0.20208411486438616,24.130253912316526,0.11040980591991303,0.07712122976767298,0.05274457999670333,0.18271258565305487,0.9812788999028228,-0.20278344427785117,25.39505538209408,0.11727994663600902,0.07884182792450713,0.056026564902241095,0.19408171329953947,0.9800747495311176,-0.20863241729446447,27.466603273908245,0.13455120346507912,0.08841554153341231,0.06427731898967054,0.22266316457833937,3.64467782286733,-0.18944717874935865
