UVIS Filter,"1"" a coeff","1"" b coeff","1"" c coeff","1"" a uncert","1"" b uncert","1"" c uncert","1"" residual","0.5"" a coeff","0.5"" b coeff","0.5"" c coeff","0.5"" a uncert","0.5"" b uncert","0.5"" c uncert","0.5"" residual","0.1"" a coeff","0.1"" b coeff","0.1"" c coeff","0.1"" a uncert","0.1"" b uncert","0.1"" c uncert","0.1"" residual",Avg Exp,Avg Back
WFC3 UVIS F225W,2.4409387357459753,0.0028271386007013843,22.49299610047962,0.2073459903850111,0.029792201929721845,0.041730620462317417,0.1445591091103021,2.460827860666784,0.005622667690635463,23.76320064734158,0.216007522135178,0.02962796985231059,0.04347385551575024,0.1505978524676846,2.5035358098484783,0.011441207841881074,25.902837762573295,0.23373798025486087,0.029727607482461966,0.04704230090226562,0.16295931063735727,3.3601721257090262,0.0
WFC3 UVIS F275W,1.847248433632394,0.0028271386007013843,22.188775575828437,0.2813794603967472,0.029792201929721845,0.07522271696089095,0.23787511699102892,1.8205871705932013,0.005622667690635463,23.466452673536246,0.2837164834735593,0.02962796985231059,0.07584748670747231,0.23985081202822076,1.773066976793566,0.011441207841881074,25.626387683466728,0.2873497182253366,0.029727607482461966,0.0768187892116692,0.2429223400307129,3.2164549706070154,0.0
WFC3 UVIS F300X,1.5988461665275604,0.0028271386007013843,22.87286628744292,0.07404474106576152,0.029792201929721845,0.035795350540956866,0.12399873219038329,1.5887962176861326,0.005622667690635463,24.149169057102164,0.07631680750751835,0.02962796985231059,0.03689372727905463,0.12780361978478944,1.567953417343606,0.011441207841881074,26.30358509905388,0.08223093879846813,0.029727607482461966,0.03975278914586812,0.13770770084206713,3.082855159801691,0.0
WFC3 UVIS F336W,1.5258415034484862,0.0028271386007013843,22.893698102757003,0.1263979705051617,0.029792201929721845,0.05366626510823675,0.16099879429498704,1.5275088657175375,0.005622667690635463,24.171902239225613,0.13118184076564182,0.02962796985231059,0.05569741147591727,0.16709223425278863,1.5284371050088454,0.011441207841881074,26.334388805451955,0.141451122735579,0.029727607482461966,0.06005756294749417,0.1801726885021245,3.3503112983519063,0.0
WFC3 UVIS F390W,0.8234503132389362,0.0028271386007013843,23.55399359314829,0.2372427837385306,0.029792201929721845,0.02363391925116655,0.10027022785585206,0.8191942723537522,0.005622667690635463,24.8256626281716,0.23876272652520067,0.02962796985231059,0.023785325836308064,0.1009125910872743,0.8098946768472488,0.011441207841881074,26.973602076181496,0.2448959928035518,0.029727607482461966,0.024396324275085205,0.10350483790098151,3.3323259170816657,-1.7631952589262716
WFC3 UVIS F438W,1.5260171776183862,0.0028271386007013843,23.053920662285446,0.1364745328001843,0.029792201929721845,0.0600197401345936,0.1990629587621967,1.534440952085383,0.005622667690635463,24.326285412809355,0.13744344537630046,0.02962796985231059,0.06044585144365756,0.20047620895501822,1.552743908299637,0.011441207841881074,26.477642639819877,0.14091812877270907,0.029727607482461966,0.06197396790659707,0.20554439934408444,3.375266902412254,-1.8432255310737067
WFC3 UVIS F475W,1.5871287044976459,0.0028271386007013843,23.88360206575349,0.12966848241379644,0.029792201929721845,0.023624194489971797,0.10565060998110597,1.6208649821488816,0.005622667690635463,25.165616230945815,0.1334527895075635,0.02962796985231059,0.024313653930902516,0.10873396609777648,1.689198264241687,0.011441207841881074,27.33809464501531,0.1445431553173823,0.029727607482461966,0.02633419691763599,0.11777010935951335,3.3739158048668028,-1.3947529458492125
WFC3 UVIS F475X,1.2253927123548063,0.0028271386007013843,23.768151783562264,0.08173702307404136,0.029792201929721845,0.02413197350591648,0.08700906776764583,1.218623004701047,0.005622667690635463,25.04275258509724,0.08078014578376365,0.02962796985231059,0.023849461719432603,0.08599045683205962,1.2047411695768209,0.011441207841881074,27.19904307339019,0.07964430246859083,0.029727607482461966,0.023514114764065903,0.08478134641025967,3.1046088165097627,-1.2953033453221148
WFC3 UVIS F555W,1.4508023249809168,0.0028271386007013843,23.091205456938347,0.1812588686163727,0.029792201929721845,0.04974901920327436,0.15732021161459106,1.4622549627127819,0.005622667690635463,24.374765222982504,0.16845388949549367,0.02962796985231059,0.04623451273690465,0.1462063665848299,1.4883142780916594,0.011441207841881074,26.553759060701065,0.13971148535726216,0.029727607482461966,0.038345762677790315,0.1212599490253638,3.06965804772933,-1.4186751999602585
WFC3 UVIS F606W,1.1593640201199524,0.0028271386007013843,24.048017005094163,0.151240012208952,0.029792201929721845,0.03017231925147352,0.10007026207001045,1.1652195169355026,0.005622667690635463,25.329343847281834,0.14314945653426597,0.02962796985231059,0.028558254659100002,0.09471701516731698,1.1706615823403281,0.011441207841881074,27.50511600386535,0.12987188688654844,0.029727607482461966,0.02590939129854241,0.08593172940761906,3.4307685628119304,-1.315045549070931
WFC3 UVIS F625W,1.1668809720769553,0.0028271386007013843,23.436561707387305,0.09659300866429153,0.029792201929721845,0.03824683810706887,0.12094712231386827,1.1716704445978539,0.005622667690635463,24.715400508331687,0.09375439068948935,0.02962796985231059,0.03712285759967581,0.11739278301036543,1.1850640441578977,0.011441207841881074,26.88208803415197,0.08932431890161335,0.029727607482461966,0.03536873565170191,0.11184576223697784,3.4466739341579253,-1.1938319624246754
WFC3 UVIS F775W,1.5608616713752759,0.0028271386007013843,22.701132369690907,0.1733184368183194,0.029792201929721845,0.03505047569754811,0.11624927618946941,1.5447307493847624,0.005622667690635463,23.977022986541627,0.1764053512609685,0.02962796985231059,0.03567474192874812,0.11831973292583167,1.5275727390085858,0.011441207841881074,26.13365173701534,0.18420355574635217,0.029727607482461966,0.03725178749675871,0.12355020187917291,3.156224137533821,-1.5215957941521088
WFC3 UVIS F814W,1.5168529355071725,0.0028271386007013843,22.9322670544042,0.13627146432182696,0.029792201929721845,0.04620004666202989,0.14609737499244338,1.5495047500245223,0.005622667690635463,24.218202208750753,0.13157361839879678,0.02962796985231059,0.044607334326077136,0.14106077639432463,1.6182603842179195,0.011441207841881074,26.40018279041306,0.12584340617269707,0.029727607482461966,0.04266462285446327,0.13491738345496965,3.2521067094008895,-1.292731646230131
WFC3 UVIS F850LP,1.1744065761828453,0.0028271386007013843,21.43326397134204,0.17392157167057568,0.029792201929721845,0.03756485105613852,0.15937416583628516,1.1800824770758946,0.005622667690635463,22.703282084928215,0.17816676340283905,0.02962796985231059,0.03848176882990406,0.16326431840151012,1.1994831221645623,0.011441207841881074,24.844687157375937,0.1879213056985481,0.029727607482461966,0.04058862076369998,0.17220293440918516,3.0495846564179563,-2.057792242347354
